id,sourceId,sourceName,rawText,segment,candidateCustodian,targetId,score,matchType,status,sourceRegisterTitle,sourceRegisterVersion,sourceRegisterGenerated,sourceRegisterCustodianCount,sourceCsvPath,sourceMarkdownPath,sourceCsvModifiedAt,sourceMarkdownModifiedAt,sourceCsvSha256,sourceMarkdownSha256,sourceCustodianRowCount,sourceMarkdownCardCount,sourceOverrideRuleCount,sourceGitCommit,sourceProvenanceStatus,kgLoadedAt
review:custodian:centre-for-victorian-data-linkage:3:registry-of-births-deaths-and-marriages-:override-reject,custodian:centre-for-victorian-data-linkage,Centre for Victorian Data Linkage,"PHRN: CVDL was established with funding from the national Population Health Research Network (PHRN) and is part of the PHRN network.
AIHW: Some datasets are assembled for submission to the Australian Institute for Health and Welfare (AIHW) for national reporting.
Registry of Births Deaths and Marriages: CVDL obtains Births and Deaths (VDI) data from the Registry of Births Deaths and Marriages under a Memorandum of Understanding.",Registry of Births Deaths and Marriages: CVDL obtains Births and Deaths (VDI) data from the Registry of Births Deaths and Marriages under a Memorandum of Understanding,,,0.0,override_force_reject,rejected,,,,,,,,,,,,,,,,
review:custodian:victorian-agency-for-health-information:1:aihw-cvdl-assembles-data-for-national-re,custodian:victorian-agency-for-health-information,Victorian Agency for Health Information,"AIHW: CVDL assembles data for national reporting to AIHW [3]
Department of Health, Disability and Ageing: HACC data for people aged 65+ transferred to Commonwealth Department of Health, Disability and Ageing [3]
Victorian Cancer Registry: VCR data is integrated into CVDL's Integrated Data Resource [3]",AIHW: CVDL assembles data for national reporting to AIHW [3],Australian Institute of Health and Welfare,custodian:australian-institute-of-health-and-welfare,1.01,alias_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:victorian-agency-for-health-information:2:department-of-health-disability-and-agei,custodian:victorian-agency-for-health-information,Victorian Agency for Health Information,"AIHW: CVDL assembles data for national reporting to AIHW [3]
Department of Health, Disability and Ageing: HACC data for people aged 65+ transferred to Commonwealth Department of Health, Disability and Ageing [3]
Victorian Cancer Registry: VCR data is integrated into CVDL's Integrated Data Resource [3]","Department of Health, Disability and Ageing: HACC data for people aged 65+ transferred to Commonwealth Department of Health, Disability and Ageing [3]","Australian Government Department of Health, Disability and Ageing",custodian:australian-government-department-of-health-disability-and-ageing,1.01,alias_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:victorian-agency-for-health-information:3:victorian-cancer-registry-vcr-data-is-in,custodian:victorian-agency-for-health-information,Victorian Agency for Health Information,"AIHW: CVDL assembles data for national reporting to AIHW [3]
Department of Health, Disability and Ageing: HACC data for people aged 65+ transferred to Commonwealth Department of Health, Disability and Ageing [3]
Victorian Cancer Registry: VCR data is integrated into CVDL's Integrated Data Resource [3]",Victorian Cancer Registry: VCR data is integrated into CVDL's Integrated Data Resource [3],Victorian Cancer Registry,custodian:victorian-cancer-registry,1.02,name_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:victorian-cancer-registry:1:australian-institute-of-health-and-welfa,custodian:victorian-cancer-registry,Victorian Cancer Registry,Australian Institute of Health and Welfare (AIHW) (for compiling national cancer figures); VAHI (Victorian Agency for Health Information) (Victorian health system reporting and governance alignment),Australian Institute of Health and Welfare (AIHW) (for compiling national cancer figures),Australian Institute of Health and Welfare,custodian:australian-institute-of-health-and-welfare,1.02,name_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:victorian-cancer-registry:2:vahi-victorian-agency-for-health-informa,custodian:victorian-cancer-registry,Victorian Cancer Registry,Australian Institute of Health and Welfare (AIHW) (for compiling national cancer figures); VAHI (Victorian Agency for Health Information) (Victorian health system reporting and governance alignment),VAHI (Victorian Agency for Health Information) (Victorian health system reporting and governance alignment),Victorian Agency for Health Information,custodian:victorian-agency-for-health-information,1.01,alias_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:queensland-cyber-infrastructure-foundation:1:ardc-qcif-receives-investment-from-ardc-,custodian:queensland-cyber-infrastructure-foundation,Queensland Cyber Infrastructure Foundation,"ARDC: QCIF receives investment from ARDC for the HeSANDA Queensland node and collaborates on secure eResearch platforms like KeyPoint.
Health Translation Queensland: Administers the HeSANDA Queensland node in collaboration with QCIF.
University of Queensland: Collaborating organization on the NINA project and a partner in the development of KeyPoint.",ARDC: QCIF receives investment from ARDC for the HeSANDA Queensland node and collaborates on secure eResearch platforms like KeyPoint,Australian Research Data Commons,custodian:australian-research-data-commons,1.01,alias_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:queensland-cyber-infrastructure-foundation:2:health-translation-queensland-administer,custodian:queensland-cyber-infrastructure-foundation,Queensland Cyber Infrastructure Foundation,"ARDC: QCIF receives investment from ARDC for the HeSANDA Queensland node and collaborates on secure eResearch platforms like KeyPoint.
Health Translation Queensland: Administers the HeSANDA Queensland node in collaboration with QCIF.
University of Queensland: Collaborating organization on the NINA project and a partner in the development of KeyPoint.",Health Translation Queensland: Administers the HeSANDA Queensland node in collaboration with QCIF,Australian Research Data Commons,custodian:australian-research-data-commons,0.96,alias_exact,accepted,,,,,,,,,,,,,,,,
review:custodian:queensland-cyber-infrastructure-foundation:3:university-of-queensland-collaborating-o:not-custodian,custodian:queensland-cyber-infrastructure-foundation,Queensland Cyber Infrastructure Foundation,"ARDC: QCIF receives investment from ARDC for the HeSANDA Queensland node and collaborates on secure eResearch platforms like KeyPoint.
Health Translation Queensland: Administers the HeSANDA Queensland node in collaboration with QCIF.
University of Queensland: Collaborating organization on the NINA project and a partner in the development of KeyPoint.",University of Queensland: Collaborating organization on the NINA project and a partner in the development of KeyPoint,,,0.0,not_a_custodian,rejected,,,,,,,,,,,,,,,,
review:custodian:queensland-health:1:australian-institute-of-health-and-welfa,custodian:queensland-health,Queensland Health,Australian Institute of Health and Welfare (AIHW) (national hospital data reporting); QCIF (secure infrastructure used by Queensland researchers working with Queensland Health data); PHRN (through Data Linkage Queensland / SALUD for linkage); Cancer Institute NSW (cross-state cancer registry comparison work),Australian Institute of Health and Welfare (AIHW) (national hospital data reporting),Australian Institute of Health and Welfare,custodian:australian-institute-of-health-and-welfare,1.02,name_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:queensland-health:2:qcif-secure-infrastructure-used-by-queen,custodian:queensland-health,Queensland Health,Australian Institute of Health and Welfare (AIHW) (national hospital data reporting); QCIF (secure infrastructure used by Queensland researchers working with Queensland Health data); PHRN (through Data Linkage Queensland / SALUD for linkage); Cancer Institute NSW (cross-state cancer registry comparison work),QCIF (secure infrastructure used by Queensland researchers working with Queensland Health data),Queensland Cyber Infrastructure Foundation,custodian:queensland-cyber-infrastructure-foundation,1.01,alias_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:queensland-health:3:1:phrn-through-data-linkage-quee:override,custodian:queensland-health,Queensland Health,Australian Institute of Health and Welfare (AIHW) (national hospital data reporting); QCIF (secure infrastructure used by Queensland researchers working with Queensland Health data); PHRN (through Data Linkage Queensland / SALUD for linkage); Cancer Institute NSW (cross-state cancer registry comparison work),PHRN (through Data Linkage Queensland / SALUD for linkage),Population Health Research Network,custodian:population-health-research-network,1.0,override_force_accept,accepted,,,,,,,,,,,,,,,,
review:custodian:queensland-health:4:cancer-institute-nsw-cross-state-cancer-,custodian:queensland-health,Queensland Health,Australian Institute of Health and Welfare (AIHW) (national hospital data reporting); QCIF (secure infrastructure used by Queensland researchers working with Queensland Health data); PHRN (through Data Linkage Queensland / SALUD for linkage); Cancer Institute NSW (cross-state cancer registry comparison work),Cancer Institute NSW (cross-state cancer registry comparison work),Cancer Institute NSW,custodian:cancer-institute-nsw,1.02,name_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:wa-health-data-linkage-services-wa:1:1:australian-institute-of-health:override,custodian:wa-health-data-linkage-services-wa,WA Health / Data Linkage Services WA,Australian Institute of Health and Welfare (AIHW) (cross-jurisdictional research and reporting); Population Health Research Network (PHRN) (national linkage network membership),Australian Institute of Health and Welfare (AIHW) (cross-jurisdictional research and reporting),Australian Institute of Health and Welfare,custodian:australian-institute-of-health-and-welfare,1.0,override_force_accept,accepted,,,,,,,,,,,,,,,,
review:custodian:wa-health-data-linkage-services-wa:2:1:population-health-research-net:override,custodian:wa-health-data-linkage-services-wa,WA Health / Data Linkage Services WA,Australian Institute of Health and Welfare (AIHW) (cross-jurisdictional research and reporting); Population Health Research Network (PHRN) (national linkage network membership),Population Health Research Network (PHRN) (national linkage network membership),Population Health Research Network,custodian:population-health-research-network,1.0,override_force_accept,accepted,,,,,,,,,,,,,,,,
review:custodian:tasmanian-department-of-health-tasmanian-data-linkage-unit:1:nhmrc-approves-ethics-applications-for-d,custodian:tasmanian-department-of-health-tasmanian-data-linkage-unit,Tasmanian Department of Health / Tasmanian Data Linkage Unit,"NHMRC: Approves ethics applications for data linkage projects.
PHRN: Provides the Online Application System (OAS) for submitting expressions of interest.
SURE: A remote-access data research laboratory where linked data may be provided for analysis.",NHMRC: Approves ethics applications for data linkage projects,National Health and Medical Research Council (NHMRC) / Human Research Ethics Committees (HRECs),custodian:national-health-and-medical-research-council-nhmrc-human-research-ethics-committees-hrecs,1.01,alias_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:tasmanian-department-of-health-tasmanian-data-linkage-unit:2:phrn-provides-the-online-application-sys,custodian:tasmanian-department-of-health-tasmanian-data-linkage-unit,Tasmanian Department of Health / Tasmanian Data Linkage Unit,"NHMRC: Approves ethics applications for data linkage projects.
PHRN: Provides the Online Application System (OAS) for submitting expressions of interest.
SURE: A remote-access data research laboratory where linked data may be provided for analysis.",PHRN: Provides the Online Application System (OAS) for submitting expressions of interest,Population Health Research Network,custodian:population-health-research-network,1.01,alias_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:tasmanian-department-of-health-tasmanian-data-linkage-unit:3:sure-a-remote-access-data-research-labor,custodian:tasmanian-department-of-health-tasmanian-data-linkage-unit,Tasmanian Department of Health / Tasmanian Data Linkage Unit,"NHMRC: Approves ethics applications for data linkage projects.
PHRN: Provides the Online Application System (OAS) for submitting expressions of interest.
SURE: A remote-access data research laboratory where linked data may be provided for analysis.",SURE: A remote-access data research laboratory where linked data may be provided for analysis,Secure Unified Research Environment,custodian:secure-unified-research-environment,1.01,alias_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:act-health:1:1:cherel-act-health-is-a-foundin:override,custodian:act-health,ACT Health,CHeReL: ACT Health is a founding partner of the Centre for Health Record Linkage (CHeReL) at the NSW Ministry of Health and facilitates the provision of data to researchers and government agencies.,CHeReL: ACT Health is a founding partner of the Centre for Health Record Linkage (CHeReL) at the NSW Ministry of Health and facilitates the provision of data to researchers and government agencies,Centre for Health Record Linkage,custodian:centre-for-health-record-linkage,1.0,override_force_accept,accepted,,,,,,,,,,,,,,,,
review:custodian:nt-health-nt-health-research-governance-office:1:1:sa-nt-datalink-key-provider-of:override,custodian:nt-health-nt-health-research-governance-office,NT Health / NT Health Research Governance Office,"SA NT DataLink: Key provider of data linkage services in the Northern Territory.
AIHW: NT Health metadata standards are consistent with national standard classifications, and METeOR (online metadata registry) is developed by AIHW.
NHMRC/HRECs: NT HREC approval is required for research projects.
ACSQHC: NT Health is committed to implementing the Australian Commission on Safety and Quality in Health Care (ACSQHC) National Clinical Trials Governance Framework.",SA NT DataLink: Key provider of data linkage services in the Northern Territory,SA Health / SA NT DataLink,custodian:sa-health-sa-nt-datalink,1.0,override_force_accept,accepted,,,,,,,,,,,,,,,,
review:custodian:nt-health-nt-health-research-governance-office:2:aihw-nt-health-metadata-standards-are-co,custodian:nt-health-nt-health-research-governance-office,NT Health / NT Health Research Governance Office,"SA NT DataLink: Key provider of data linkage services in the Northern Territory.
AIHW: NT Health metadata standards are consistent with national standard classifications, and METeOR (online metadata registry) is developed by AIHW.
NHMRC/HRECs: NT HREC approval is required for research projects.
ACSQHC: NT Health is committed to implementing the Australian Commission on Safety and Quality in Health Care (ACSQHC) National Clinical Trials Governance Framework.","AIHW: NT Health metadata standards are consistent with national standard classifications, and METeOR (online metadata registry) is developed by AIHW",Australian Institute of Health and Welfare,custodian:australian-institute-of-health-and-welfare,1.01,alias_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:nt-health-nt-health-research-governance-office:3:nhmrc-hrecs-nt-hrec-approval-is-required,custodian:nt-health-nt-health-research-governance-office,NT Health / NT Health Research Governance Office,"SA NT DataLink: Key provider of data linkage services in the Northern Territory.
AIHW: NT Health metadata standards are consistent with national standard classifications, and METeOR (online metadata registry) is developed by AIHW.
NHMRC/HRECs: NT HREC approval is required for research projects.
ACSQHC: NT Health is committed to implementing the Australian Commission on Safety and Quality in Health Care (ACSQHC) National Clinical Trials Governance Framework.",NHMRC/HRECs: NT HREC approval is required for research projects,National Health and Medical Research Council (NHMRC) / Human Research Ethics Committees (HRECs),custodian:national-health-and-medical-research-council-nhmrc-human-research-ethics-committees-hrecs,1.01,alias_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:nt-health-nt-health-research-governance-office:4:acsqhc-nt-health-is-committed-to-impleme,custodian:nt-health-nt-health-research-governance-office,NT Health / NT Health Research Governance Office,"SA NT DataLink: Key provider of data linkage services in the Northern Territory.
AIHW: NT Health metadata standards are consistent with national standard classifications, and METeOR (online metadata registry) is developed by AIHW.
NHMRC/HRECs: NT HREC approval is required for research projects.
ACSQHC: NT Health is committed to implementing the Australian Commission on Safety and Quality in Health Care (ACSQHC) National Clinical Trials Governance Framework.",ACSQHC: NT Health is committed to implementing the Australian Commission on Safety and Quality in Health Care (ACSQHC) National Clinical Trials Governance Framework,Australian Commission on Safety and Quality in Health Care,custodian:australian-commission-on-safety-and-quality-in-health-care,1.01,alias_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:centre-for-health-record-linkage:1:1:nsw-health-cherel-is-a-nsw-gov:override,custodian:centre-for-health-record-linkage,Centre for Health Record Linkage,"NSW Health: CHeReL is a NSW Government website and works closely with NSW Health for data provision and linkage.
ACT Health: CHeReL provides data linkage services for ACT health data.
PHRN: CHeReL is part of the Population Health Research Network (PHRN).
Cancer Institute NSW: PHSREC is associated with Cancer Institute NSW, and CHeReL works with PHSREC for ethical approvals.",NSW Health: CHeReL is a NSW Government website and works closely with NSW Health for data provision and linkage,NSW Health / Ministry of Health NSW,custodian:nsw-health-ministry-of-health-nsw,1.0,override_force_accept,accepted,,,,,,,,,,,,,,,,
review:custodian:centre-for-health-record-linkage:2:act-health-cherel-provides-data-linkage-,custodian:centre-for-health-record-linkage,Centre for Health Record Linkage,"NSW Health: CHeReL is a NSW Government website and works closely with NSW Health for data provision and linkage.
ACT Health: CHeReL provides data linkage services for ACT health data.
PHRN: CHeReL is part of the Population Health Research Network (PHRN).
Cancer Institute NSW: PHSREC is associated with Cancer Institute NSW, and CHeReL works with PHSREC for ethical approvals.",ACT Health: CHeReL provides data linkage services for ACT health data,ACT Health,custodian:act-health,1.02,name_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:centre-for-health-record-linkage:3:phrn-cherel-is-part-of-the-population-he,custodian:centre-for-health-record-linkage,Centre for Health Record Linkage,"NSW Health: CHeReL is a NSW Government website and works closely with NSW Health for data provision and linkage.
ACT Health: CHeReL provides data linkage services for ACT health data.
PHRN: CHeReL is part of the Population Health Research Network (PHRN).
Cancer Institute NSW: PHSREC is associated with Cancer Institute NSW, and CHeReL works with PHSREC for ethical approvals.",PHRN: CHeReL is part of the Population Health Research Network (PHRN),Population Health Research Network,custodian:population-health-research-network,1.01,alias_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:centre-for-health-record-linkage:4:cancer-institute-nsw-phsrec-is-associate,custodian:centre-for-health-record-linkage,Centre for Health Record Linkage,"NSW Health: CHeReL is a NSW Government website and works closely with NSW Health for data provision and linkage.
ACT Health: CHeReL provides data linkage services for ACT health data.
PHRN: CHeReL is part of the Population Health Research Network (PHRN).
Cancer Institute NSW: PHSREC is associated with Cancer Institute NSW, and CHeReL works with PHSREC for ethical approvals.","Cancer Institute NSW: PHSREC is associated with Cancer Institute NSW, and CHeReL works with PHSREC for ethical approvals",Cancer Institute NSW,custodian:cancer-institute-nsw,1.02,name_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:sa-health-sa-nt-datalink:1:services-australia-for-mbs-pbs-and-centr,custodian:sa-health-sa-nt-datalink,SA Health / SA NT DataLink,"Services Australia (for MBS, PBS, and Centrelink data used in linked projects); Population Health Research Network (PHRN) (national linkage network membership)","Services Australia (for MBS, PBS, and Centrelink data used in linked projects)",Services Australia,custodian:services-australia,1.02,name_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:sa-health-sa-nt-datalink:2:population-health-research-network-phrn-,custodian:sa-health-sa-nt-datalink,SA Health / SA NT DataLink,"Services Australia (for MBS, PBS, and Centrelink data used in linked projects); Population Health Research Network (PHRN) (national linkage network membership)",Population Health Research Network (PHRN) (national linkage network membership),Population Health Research Network,custodian:population-health-research-network,1.02,name_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:secure-unified-research-environment:1:phrn-sure-is-supported-by-the-population,custodian:secure-unified-research-environment,Secure Unified Research Environment,"PHRN: SURE is supported by the Population Health Research Network.
AIHW: AIHW data is accessed via SURE.
Cancer Institute NSW: Cancer Institute NSW data is accessed via SURE.
Department of Health, Disability and Ageing: Australian Government National Collaborative Research Infrastructure Strategy (NCRIS) is an initiative of the Australian Government.
NSW Health: NSW Government supports SURE.",PHRN: SURE is supported by the Population Health Research Network,Population Health Research Network,custodian:population-health-research-network,1.01,alias_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:secure-unified-research-environment:2:1:aihw-aihw-data-is-accessed-via:override,custodian:secure-unified-research-environment,Secure Unified Research Environment,"PHRN: SURE is supported by the Population Health Research Network.
AIHW: AIHW data is accessed via SURE.
Cancer Institute NSW: Cancer Institute NSW data is accessed via SURE.
Department of Health, Disability and Ageing: Australian Government National Collaborative Research Infrastructure Strategy (NCRIS) is an initiative of the Australian Government.
NSW Health: NSW Government supports SURE.",AIHW: AIHW data is accessed via SURE,Australian Institute of Health and Welfare,custodian:australian-institute-of-health-and-welfare,1.0,override_force_accept,accepted,,,,,,,,,,,,,,,,
review:custodian:secure-unified-research-environment:3:1:cancer-institute-nsw-cancer-in:override,custodian:secure-unified-research-environment,Secure Unified Research Environment,"PHRN: SURE is supported by the Population Health Research Network.
AIHW: AIHW data is accessed via SURE.
Cancer Institute NSW: Cancer Institute NSW data is accessed via SURE.
Department of Health, Disability and Ageing: Australian Government National Collaborative Research Infrastructure Strategy (NCRIS) is an initiative of the Australian Government.
NSW Health: NSW Government supports SURE.",Cancer Institute NSW: Cancer Institute NSW data is accessed via SURE,Cancer Institute NSW,custodian:cancer-institute-nsw,1.0,override_force_accept,accepted,,,,,,,,,,,,,,,,
review:custodian:secure-unified-research-environment:4:department-of-health-disability-and-agei,custodian:secure-unified-research-environment,Secure Unified Research Environment,"PHRN: SURE is supported by the Population Health Research Network.
AIHW: AIHW data is accessed via SURE.
Cancer Institute NSW: Cancer Institute NSW data is accessed via SURE.
Department of Health, Disability and Ageing: Australian Government National Collaborative Research Infrastructure Strategy (NCRIS) is an initiative of the Australian Government.
NSW Health: NSW Government supports SURE.","Department of Health, Disability and Ageing: Australian Government National Collaborative Research Infrastructure Strategy (NCRIS) is an initiative of the Australian Government","Australian Government Department of Health, Disability and Ageing",custodian:australian-government-department-of-health-disability-and-ageing,1.01,alias_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:secure-unified-research-environment:5:1:nsw-health-nsw-government-supp:override,custodian:secure-unified-research-environment,Secure Unified Research Environment,"PHRN: SURE is supported by the Population Health Research Network.
AIHW: AIHW data is accessed via SURE.
Cancer Institute NSW: Cancer Institute NSW data is accessed via SURE.
Department of Health, Disability and Ageing: Australian Government National Collaborative Research Infrastructure Strategy (NCRIS) is an initiative of the Australian Government.
NSW Health: NSW Government supports SURE.",NSW Health: NSW Government supports SURE,NSW Health / Ministry of Health NSW,custodian:nsw-health-ministry-of-health-nsw,1.0,override_force_accept,accepted,,,,,,,,,,,,,,,,
review:custodian:sax-institute:1:centre-for-health-record-linkage-cherel-,custodian:sax-institute,Sax Institute,"Centre for Health Record Linkage (CHeReL): performs external data linkages for the 45 and Up Study
Secure Unified Research Environment (SURE): operated by the Sax Institute - all 45 and Up Study and CUPL analyses occur in SURE
NSW Health - Ministry of Health NSW: study partner and source of linked NSW administrative health datasets",Centre for Health Record Linkage (CHeReL): performs external data linkages for the 45 and Up Study,Centre for Health Record Linkage,custodian:centre-for-health-record-linkage,1.02,name_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:sax-institute:2:secure-unified-research-environment-sure,custodian:sax-institute,Sax Institute,"Centre for Health Record Linkage (CHeReL): performs external data linkages for the 45 and Up Study
Secure Unified Research Environment (SURE): operated by the Sax Institute - all 45 and Up Study and CUPL analyses occur in SURE
NSW Health - Ministry of Health NSW: study partner and source of linked NSW administrative health datasets",Secure Unified Research Environment (SURE): operated by the Sax Institute - all 45 and Up Study and CUPL analyses occur in SURE,Secure Unified Research Environment,custodian:secure-unified-research-environment,1.02,name_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:sax-institute:3:nsw-health-ministry-of-health-nsw-study-,custodian:sax-institute,Sax Institute,"Centre for Health Record Linkage (CHeReL): performs external data linkages for the 45 and Up Study
Secure Unified Research Environment (SURE): operated by the Sax Institute - all 45 and Up Study and CUPL analyses occur in SURE
NSW Health - Ministry of Health NSW: study partner and source of linked NSW administrative health datasets",NSW Health - Ministry of Health NSW: study partner and source of linked NSW administrative health datasets,NSW Health / Ministry of Health NSW,custodian:nsw-health-ministry-of-health-nsw,1.02,name_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:australian-longitudinal-study-on-women-s-health:1:secure-unified-research-environment-sure,custodian:australian-longitudinal-study-on-women-s-health,Australian Longitudinal Study on Women's Health,"Secure Unified Research Environment (SURE): linked ALSWH data are analysed in SURE
Services Australia: provides MBS and PBS data for linkage to the ALSWH cohorts
Australian Institute of Health and Welfare (AIHW): provides National Death Index and aged care data linkages",Secure Unified Research Environment (SURE): linked ALSWH data are analysed in SURE,Secure Unified Research Environment,custodian:secure-unified-research-environment,1.02,name_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:australian-longitudinal-study-on-women-s-health:2:services-australia-provides-mbs-and-pbs-,custodian:australian-longitudinal-study-on-women-s-health,Australian Longitudinal Study on Women's Health,"Secure Unified Research Environment (SURE): linked ALSWH data are analysed in SURE
Services Australia: provides MBS and PBS data for linkage to the ALSWH cohorts
Australian Institute of Health and Welfare (AIHW): provides National Death Index and aged care data linkages",Services Australia: provides MBS and PBS data for linkage to the ALSWH cohorts,Services Australia,custodian:services-australia,1.02,name_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:australian-longitudinal-study-on-women-s-health:3:australian-institute-of-health-and-welfa,custodian:australian-longitudinal-study-on-women-s-health,Australian Longitudinal Study on Women's Health,"Secure Unified Research Environment (SURE): linked ALSWH data are analysed in SURE
Services Australia: provides MBS and PBS data for linkage to the ALSWH cohorts
Australian Institute of Health and Welfare (AIHW): provides National Death Index and aged care data linkages",Australian Institute of Health and Welfare (AIHW): provides National Death Index and aged care data linkages,Australian Institute of Health and Welfare,custodian:australian-institute-of-health-and-welfare,1.02,name_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:outcome-health:1:phn-cooperative-primary-health-insights-,custodian:outcome-health,Outcome Health,"PHN Cooperative / Primary Health Insights: POLAR data are owned by participating Primary Health Networks, which act as data custodians and grant research access (a PHN data program operating alongside Primary Sense)","PHN Cooperative / Primary Health Insights: POLAR data are owned by participating Primary Health Networks, which act as data custodians and grant research access (a PHN data program operating alongside Primary Sense)",PHN Cooperative / Primary Health Insights,custodian:phn-cooperative-primary-health-insights,1.02,name_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:health-roundtable:1:beamtree-operates-the-health-roundtable-,custodian:health-roundtable,Health Roundtable,Beamtree: operates the Health Roundtable data platform and analytics under a contract running to July 2031,Beamtree: operates the Health Roundtable data platform and analytics under a contract running to July 2031,Beamtree,custodian:beamtree,1.02,name_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:beamtree:1:health-roundtable-beamtree-operates-the-,custodian:beamtree,Beamtree,Health Roundtable: Beamtree operates the Health Roundtable benchmarking platform and analytics (contract to July 2031),Health Roundtable: Beamtree operates the Health Roundtable benchmarking platform and analytics (contract to July 2031),Health Roundtable,custodian:health-roundtable,1.02,name_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:medadvisor:1:pharmacy-guild-of-australia-guild-group-:override-reject,custodian:medadvisor,MedAdvisor,Pharmacy Guild of Australia: Guild Group is the largest shareholder (approximately 17.5 per cent) and receives de-identified dispensing data for health economics modelling under a 10-year master services agreement,Pharmacy Guild of Australia: Guild Group is the largest shareholder (approximately 17.5 per cent) and receives de-identified dispensing data for health economics modelling under a 10-year master services agreement,,,0.0,override_force_reject,rejected,,,,,,,,,,,,,,,,
review:custodian:nostradata:1:iqvia-australia-distributes-the-iqvia-no,custodian:nostradata,NostraData,IQVIA Australia: distributes the IQVIA NostraData Pharmacy Dispense Data: Australia asset,IQVIA Australia: distributes the IQVIA NostraData Pharmacy Dispense Data: Australia asset,IQVIA Australia,custodian:iqvia-australia,1.02,name_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:iqvia-australia:1:nostradata-source-of-the-iqvia-nostradat,custodian:iqvia-australia,IQVIA Australia,NostraData: source of the IQVIA NostraData Pharmacy Dispense Data: Australia dispensing asset,NostraData: source of the IQVIA NostraData Pharmacy Dispense Data: Australia dispensing asset,NostraData,custodian:nostradata,1.02,name_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:indigenous-data-network-maiam-nayri-wingara:1:australian-institute-of-aboriginal-and-t,custodian:indigenous-data-network-maiam-nayri-wingara,Indigenous Data Network / Maiam nayri Wingara,"Australian Institute of Aboriginal and Torres Strait Islander Studies (AIATSIS): the AIATSIS Code of Ethics underpins Indigenous data governance requirements referenced by IDN and Maiam nayri Wingara
National Aboriginal Community Controlled Health Organisation (NACCHO): sector partner in Indigenous data sovereignty and governance",Australian Institute of Aboriginal and Torres Strait Islander Studies (AIATSIS): the AIATSIS Code of Ethics underpins Indigenous data governance requirements referenced by IDN and Maiam nayri Wingara,Australian Institute of Aboriginal and Torres Strait Islander Studies,custodian:australian-institute-of-aboriginal-and-torres-strait-islander-studies,1.02,name_leading,accepted,,,,,,,,,,,,,,,,
review:custodian:indigenous-data-network-maiam-nayri-wingara:2:national-aboriginal-community-controlled,custodian:indigenous-data-network-maiam-nayri-wingara,Indigenous Data Network / Maiam nayri Wingara,"Australian Institute of Aboriginal and Torres Strait Islander Studies (AIATSIS): the AIATSIS Code of Ethics underpins Indigenous data governance requirements referenced by IDN and Maiam nayri Wingara
National Aboriginal Community Controlled Health Organisation (NACCHO): sector partner in Indigenous data sovereignty and governance",National Aboriginal Community Controlled Health Organisation (NACCHO): sector partner in Indigenous data sovereignty and governance,National Aboriginal Community Controlled Health Organisation,custodian:national-aboriginal-community-controlled-health-organisation,1.02,name_leading,accepted,,,,,,,,,,,,,,,,
